Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.42939,1.42939,1.42939,0,0,0,0,0,0,0,0,WAIT
1.42938,1.42939,1.42939,0.00000,0.00000,0,0,0,0,0,0,WAIT
1.42939,1.42939,1.42939,0.00000,0.00000,0,0,0,0,0,0,WAIT
1.42939,1.42939,1.42939,0.00000,0.00000,0,0,0,0,0,0,WAIT
1.42939,1.42939,1.42939,0.00000,0.00000,0,0,0,0,0,0,STRONGBUY
1.42939,1.42939,1.42939,0.00000,0.00000,0,0,0,0,0,0,STRONGBUY
1.42949,1.42949,1.42949,0.00010,0.00010,-0.00186,20,0.1,-0.0005,0,-10,STRONGBUY
1.43778,1.43778,1.43778,0.00829,0.00829,0.00836,180,0.1,0.0005,10,20,STRONGBUY
1.44266,1.44266,1.44266,0.00488,0.00488,0.0045,60,0.1,0.0005,0,30,SELL
nan,1.44120,1.44120,-0.00146,-0.00146,-0.0005,-40,0,0.0005,0,20,STRONGBUY
1.44111,1.44111,1.44111,-0.00009,-0.00009,-0.0035,-20,0,0,0,0,WAIT
1.44142,1.44142,1.44142,0.00031,0.00031,0.001,0,0.1,0,0,-10,SELL
1.44755,1.44755,1.44755,0.00613,0.00613,0.0025,80,0,0.0005,10,10,STRONGSELL
1.44177,1.44177,1.44177,-0.00578,-0.00578,0,-100,0,0,-10,-10,STRONGSELL
1.44037,1.43567,1.44037,-0.00610,-0.00140,-0.003,-20,0,-0.00025,0,-30,STRONGSELL
1.43604,1.43645,1.43604,0.00078,-0.00433,-0.0015,-60,-0.2,-0.00075,-10,-30,STRONGSELL
1.43624,1.43693,1.43624,0.00048,0.00020,-0.0055,0,0,-0.0005,0,0,BUY
1.43565,1.43741,1.43565,0.00049,-0.00059,0,0,0.1,-0.0005,0,0,WAIT
1.43121,1.43786,1.43121,0.00045,-0.00444,0,-80,0,-0.0005,0,0,STRONGBUY
1.43788,1.43799,1.43788,0.00013,0.00667,0.002,100,0.1,0.0005,10,20,BUY
1.43514,1.43860,1.43514,0.00061,-0.00274,0,-60,0,-0.0005,-10,10,STRONGBUY
1.43978,1.43900,1.43978,0.00040,0.00464,0.0035,80,-0.1,0.0005,10,30,STRONGSELL
1.43998,1.43914,1.43998,0.00014,0.00020,0.0015,20,0,0.0005,0,0,STRONGSELL
1.44019,1.43895,1.44019,-0.00019,0.00021,0.0005,0,0,0.0005,0,0,STRONGSELL
